,DataYear,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),Latitude,Longitude,ENERGYSTARQuintile,ENERGYSTARScore
1529,2016,NonResidential,Office,1962.0,1.0,671697.0,98.0,100.5,186.9,189.6,65831653.9,27384756.4,21517285.0,7082.7,10.5,41.87784862,-87.63130907,quin4,83.0
1530,2016,NonResidential,Office,1980.0,1.0,663093.0,77.9,79.1,242.7,246.3,51670102.599999994,51040619.8,629482.8,9441.3,14.2,41.88356984,-87.63641379999999,quin3,78.0
1531,2016,NonResidential,Office,1971.0,1.0,1281114.0,85.2,89.6,196.5,201.2,109094501.1,65649916.7,43444584.4,14408.2,11.2,41.87965675,-87.63746431,quin4,82.0
1532,2016,NonResidential,Office,1974.0,1.0,650364.0,46.4,46.4,145.7,145.7,30176816.4,30176816.4,6267428.2,5562.2,8.6,41.8797333,-87.63641137,quin4,88.0
1533,2016,NonResidential,Office,1971.0,1.0,600713.0,75.4,79.5,173.0,175.7,45319802.3,26969410.2,18350392.1,5945.7,9.9,41.87767066,-87.63713229999999,quin4,87.0
1534,2016,NonResidential,Hotel,1960.0,1.0,222154.0,160.8,163.8,257.1,261.5,35725900.4,9169821.7,6924118.9,3188.1,14.4,41.88833261,-87.62950362,quin1,27.0
1535,2016,NonResidential,Office,1986.0,1.0,587815.0,56.1,57.3,176.3,179.9,33002501.8,33002501.8,6267428.2,6083.1,10.3,41.88411984,-87.63649725,quin4,83.0
1536,2016,NonResidential,Office,1927.0,1.0,160475.0,62.9,63.8,168.4,167.5,10093597.1,7860552.0,2233045.1,1567.5,9.8,41.88343043,-87.63249784,quin3,77.0
1537,2016,NonResidential,Office,1976.0,1.0,517115.0,82.3,86.6,258.1,271.8,42534919.699999996,42479058.8,89371.6,7832.8,15.1,41.89069402,-87.62477656,quin2,49.0
1538,2016,NonResidential,Office,1963.0,1.0,451233.0,133.8,141.9,292.5,301.1,60353677.8,32819314.9,27534362.9,7511.8,16.6,41.878006299999996,-87.62558458,quin2,41.0
1539,2016,NonResidential,Office,1971.0,1.0,545162.0,82.8,86.1,141.1,144.5,45154182.599999994,14330157.7,21555024.9,4274.7,7.8,41.87843672,-87.63410024,quin4,90.0
1540,2016,NonResidential,Office,1914.0,1.0,488324.0,47.0,48.2,121.9,122.3,22936246.9,16488121.5,6267428.2,3467.3,7.1,41.882917600000006,-87.62666864,quin4,94.0
1541,2016,NonResidential,Hotel,1990.0,1.0,440281.0,116.3,117.8,328.1,332.6,51224549.8,43383000.0,7841549.8,8412.9,19.1,41.89472393,-87.62492502,quin0,16.0
1542,2016,NonResidential,Office,2006.0,1.0,509038.0,56.1,56.4,173.3,174.3,28538247.0,27868441.5,669805.5,5172.3,10.2,41.87954979,-87.64173979,quin4,85.0
1543,2016,NonResidential,Office,1928.0,1.0,354146.0,77.0,80.7,136.2,138.2,27256054.9,9392355.7,17863699.2,2680.0,7.6,41.88764029,-87.62452335,quin4,85.0
1544,2016,NonResidential,Office,1904.0,1.0,412504.0,74.2,77.7,182.8,185.1,30605752.1,20699631.6,9906120.5,4341.5,10.5,41.87862405,-87.62489066,quin4,89.0
1545,2016,Multifamily Housing,Multifamily Housing,1967.0,1.0,64264.0,91.0,96.4,131.7,135.9,5844855.100000001,1112943.2,4731911.9,457.1,7.1,42.01036185,-87.66829765,quin3,80.0
1546,2016,NonResidential,Office,1922.0,1.0,105313.0,81.3,85.5,176.2,177.6,8564372.399999999,4576768.1,3987604.3,1055.4,10.0,41.88299541,-87.63565914,quin4,82.0
1547,2016,NonResidential,Hotel,1926.0,1.0,383168.0,181.5,183.6,249.2,251.7,69540461.19999999,11236715.7,38042241.6,5159.6,13.5,41.88410820000001,-87.63304764,quin2,47.0
1548,2016,NonResidential,Office,1987.0,1.0,539705.0,65.6,67.2,206.0,210.9,35402741.4,35402741.4,6267428.2,6525.5,12.1,41.88285621,-87.63499083,quin3,69.0
1549,2016,NonResidential,Office,1920.0,1.0,445145.0,68.6,71.7,156.7,158.4,30517445.400000002,18037029.6,12480415.8,3987.5,9.0,41.88474397,-87.63249596,quin3,80.0
1550,2016,NonResidential,Office,2000.0,1.0,392503.0,57.2,57.2,179.6,179.6,22445128.9,22445128.9,6267428.2,4137.1,10.5,41.88353377,-87.64166970000001,quin4,92.0
1551,2016,NonResidential,Office,2004.0,1.0,434052.0,67.3,68.8,174.2,174.7,29233281.0,21497353.8,7735927.2,4373.3,10.1,41.88528144,-87.64234829,quin4,84.0
1552,2016,NonResidential,Office,1914.0,1.0,207507.0,80.8,83.1,245.0,252.1,16763943.5,15905078.9,858864.6,2977.3,14.3,41.8841105,-87.63418465,quin2,58.0
1553,2016,NonResidential,Office,1895.0,1.0,372265.0,91.3,92.2,226.1,233.4,33979583.9,23367767.8,3329400.2,4867.8,13.1,41.87977522,-87.62973114,quin3,74.0
1554,2016,NonResidential,Office,1921.0,1.0,620360.0,91.7,98.2,177.9,184.7,56908175.0,24224012.6,32684162.4,6201.0,10.0,41.89006564,-87.62518362,quin3,77.0
1555,2016,NonResidential,Office,2001.0,1.0,362261.7,66.1,67.0,207.6,210.4,23947695.2,23947695.2,6267428.2,4414.1,12.2,41.876785999999996,-87.641142,quin4,92.0
1556,2016,NonResidential,Office,1958.0,1.0,421232.0,89.5,91.1,172.0,173.8,37712889.0,15937619.2,12474837.6,4090.4,9.7,41.87931324,-87.62491915,quin4,82.0
1557,2016,NonResidential,Office,1987.0,1.0,1025053.0,57.5,57.8,180.5,181.5,58913878.0,58913878.0,6267428.2,10859.1,10.6,41.88827025,-87.6306007,quin4,83.0
1558,2016,NonResidential,Office,1968.0,1.0,390965.0,67.3,71.2,211.2,223.5,26299545.9,26299545.9,6267428.2,4847.6,12.4,41.89117131,-87.62469712,quin3,66.0
1559,2016,NonResidential,Retail Store,2000.0,1.0,349978.0,67.5,67.7,193.5,194.1,23635770.8,20528676.7,3107094.1,3960.7,11.3,41.89129703,-87.6260419,quin2,59.0
1560,2016,NonResidential,Office,1987.0,1.0,345450.0,57.6,57.6,180.8,180.8,19890929.6,19890929.6,6267428.2,3666.3,10.6,41.88191292,-87.63561095,quin4,83.0
