,DataYear_2014,DataYear_2015,DataYear_2016,BuildingType_Campus,BuildingType_Multifamily Housing,BuildingType_NonResidential,PrimaryPropertyType_Bank Branch,PrimaryPropertyType_Courthouse,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Financial Office,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Multifamily Housing,PrimaryPropertyType_Office,PrimaryPropertyType_Residence Hall/Dormitory,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Supermarket/Grocery Store,PrimaryPropertyType_Wholesale Club/Supercenter,PrimaryPropertyType_Worship Facility,YearBuilt,NumberofBuildings,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),Latitude,Longitude,ENERGYSTARQuintile,ENERGYSTARScore
1944,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.6847993387588114,-0.06363862489939465,-0.4830806439802872,-3.322389848737729,-3.4217841279412307,-2.9448916752313608,-2.9492375127541863,-1.9672366449519625,-1.0856958034992559,-0.04844109688272877,-1.6105814429667509,-2.74566253993811,0.8422630720167176,-0.06847991771370317,quin4,100.0
1945,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0101779875365804,-0.06363862489939465,-1.0533695705803463,-0.04053883466414955,0.05980962497987593,-0.7983644038352248,-0.7345967646492794,-0.9651788379848639,-1.5413184734167866,-0.33751166986048026,-1.2718404260235352,-0.9014338730638075,1.0538485428070352,-0.14097824588174349,quin4,87.0
1946,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.46018261482323514,-0.06363862489939465,-0.15228501691453114,0.5391069295494931,0.6268599378445221,-0.18579508693293934,-0.11463763910479294,0.09467511096541888,-0.5772157732971532,0.6025001329093744,-0.2559458150103467,-0.31684084516820615,1.0538485428070352,-0.14097824588174349,quin2,48.0
1947,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5701816893659042,-0.06363862489939465,-0.3083619387201181,1.037233757412073,1.1349111925415516,0.593720045978586,0.6574573952704712,0.16913474977458978,-0.14245422724428658,0.553359538798355,-0.038558728225206715,0.489192845409708,-0.9443075601508367,0.8625617203968053,quin0,5.0
1948,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9001789129939114,-0.06363862489939465,-1.124426633221055,0.39372643492753445,0.4745966802231394,-0.01010613652886489,0.005623036667739766,-0.8423572176524305,-0.9606825789500912,-0.36712031682366525,-0.9740787100765458,-0.08941466962707816,0.9448440345026726,-0.9746221501218499,quin2,43.0
1949,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7901798384512423,-0.06363862489939465,-1.2316030019072268,-0.610358164463569,-0.6109972502197356,-0.8284368000671645,-0.8647357059663517,-1.3720255303061655,-1.2569953233134823,-0.9133540785431341,-1.399483392147893,-0.8660924579882577,1.3224019172005639,-2.0755598502710884,quin4,89.0
1950,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5151821520945697,-0.06363862489939465,-0.06915492654003748,-0.9018605871319311,-0.911172658419038,-0.3402534336673057,-0.2881967638458035,-0.45268479563124875,0.07582020566464336,-0.7629086534267144,-0.18773064415217197,-0.31684084516820615,1.6045808364659042,-0.23371296037705097,quin3,66.0
1951,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4326828461875679,1.4446647268086776,-0.355668181020327,-0.6214600905682507,-0.6832671958737662,-0.8568960230169071,-0.9794890163250021,-0.5883478045191395,-0.6345808267286084,-0.19321300531298155,-0.6808910937172706,-0.9014338730638075,-0.03470399466198603,-0.6362375580782407,quin4,87.0
1952,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5701816893659042,-0.06363862489939465,-0.6649644665500317,-0.40596807668028884,-0.378198514691361,0.16599990280288043,0.2582933786500693,-0.7743116899458816,-0.16594187392555598,-1.1104678457846204,-0.4712397456436962,0.17894126961070567,-0.14117811929769308,0.06859843439850796,quin1,27.0
1953,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.020186316652558954,-0.06363862489939465,-1.0480162525854098,-0.6778186742615236,-0.5513521097506802,-1.2766331969653388,-1.205090595303849,-1.2357719152515951,-1.570915939438559,-0.6264559384279711,-1.4587177816093146,-1.3371319158104762,-1.3004634294060389,0.5929957453827909,quin3,73.0
