,YearBuilt,NumberofBuildings,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),Latitude,Longitude,DataYear_2014,DataYear_2015,DataYear_2016,BuildingType_Campus,BuildingType_Multifamily Housing,BuildingType_NonResidential,PrimaryPropertyType_Bank Branch,PrimaryPropertyType_Courthouse,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Financial Office,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Multifamily Housing,PrimaryPropertyType_Office,PrimaryPropertyType_Residence Hall/Dormitory,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Supermarket/Grocery Store,PrimaryPropertyType_Wholesale Club/Supercenter,PrimaryPropertyType_Worship Facility
3461,1.4012094226400837,-0.1859171842970881,-0.659924243618914,-0.8631223235537084,-0.8513286686624612,-0.7190736623247382,-0.7224483775221552,-0.6494513286675128,-0.5375404280325866,-0.6389304335217836,-0.5832370735066135,-0.7079971718147536,0.3484432326098604,-0.8012939619993177,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3462,-1.0331150410511059,-0.1859171842970881,-0.6158176888885393,1.8130136151533234,1.7037047004095836,0.6624494313772193,0.61066482618119,-0.3775067607369649,-0.5041594455625965,-0.10262854493092949,-0.4591836918463388,0.4699931053519814,0.3487266790778386,-0.8468522512499858,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3463,0.9862677526927218,-0.1859171842970881,0.518390671498982,-0.6297383754106534,-0.6411459750627043,0.005743089558628759,0.05016296420906877,0.07846453667322134,0.5822807426662525,-0.5569751349282643,0.35123028450052296,0.015625427016240576,0.23071746380206004,0.5919842992186873,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3464,-1.6693589349703941,-0.1859171842970881,-0.6825895048951274,0.7016614811387754,0.7140945180440612,0.8627143684333531,0.8606875945928858,-0.5633773567407151,-0.46915313296073896,-0.3520264683891799,-0.5021976793180134,0.8233901885020019,-1.4131894973166208,1.082753987622363,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3465,0.10105885680501654,-0.1859171842970881,-0.657506360756155,0.5682992250570296,0.5301846611442741,0.34426199331341323,0.3432224386588433,-0.5416847258543569,-0.499015184441643,-0.3520264683891799,-0.5104118082716169,0.30170878004244783,-1.4838407473967061,1.0997958021125096,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3466,1.2905583106541205,-0.1859171842970881,0.10457206859104919,1.1728747859609434,1.1541645327685521,0.6207699267107144,0.6383312800628123,0.5889668824273068,-0.029468232348502172,-0.6892387820779103,0.25147870386639715,0.5373068354757949,-1.4779837058200092,1.107428469080672,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3467,-0.3692083691353269,-0.1859171842970881,-0.5744951145391266,0.8172421030762881,0.8301328801355938,0.3950906575408583,0.4231477498724183,-0.4183801283270882,-0.4645575489617086,-0.3520264683891799,-0.433940271159655,0.33536564510435446,-1.4132794182651336,1.111457265861765,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3468,1.235232754661139,-0.1859171842970881,-0.5765960771622471,0.5749673378611168,0.6352760079441525,0.2731018633949901,0.2704699117849483,-0.44787877293556516,-0.4462955984643893,-0.3287624259814245,-0.45241204407483154,0.18390975232577417,-0.43909330567103166,0.7295634189744972,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3469,0.2117099687909797,-0.1859171842970881,-0.6401768342041996,0.2660114446050723,0.2827821155528937,0.28428416952502794,0.2878895308955991,-0.5465605511941691,-0.4775788768820036,-0.3520264683891799,-0.4985313729801856,0.25122348244958764,-1.491327643756357,1.0899888247647331,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3470,1.2905583106541205,-0.1859171842970881,0.4929113770604615,-0.874235844893854,-0.8907379237124157,-0.45069831520382825,-0.4242654856868951,-0.08404545921292271,0.21546476092219158,-0.42183477259499047,0.07431396645977434,-0.43874225131949995,-0.04207547690449575,0.6050297509380761,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
